0.00.045.535 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.046.455 W srv  llama_server: -----------------
0.00.046.459 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.046.459 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.046.460 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.046.460 W srv  llama_server: -----------------
0.00.047.816 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
0.00.047.979 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.04.005.161 I cmn          init: llama threadpool init, n_threads = 8
0.04.204.196 I common_speculative_init_result: loading draft model '/root/mtp-Qwen3.8-27B-Q4_0.gguf'
0.15.196.296 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.15.196.471 W set_sampler: backend sampling not supported with SPLIT_MODE_TENSOR; using CPU
0.15.196.476 W spec common_specu: backend offload failed for seq_id=0; using CPU sampler
0.15.196.479 W spec common_specu: backend offload failed for seq_id=1; using CPU sampler
0.15.196.480 W spec common_specu: backend offload failed for seq_id=2; using CPU sampler
0.15.196.481 W spec common_specu: backend offload failed for seq_id=3; using CPU sampler
0.15.220.083 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.15.220.127 I srv  llama_server: model loaded
0.15.220.133 I srv  llama_server: listening on http://127.0.0.1:8300
0.20.055.024 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.20.055.181 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.30.675.331 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2090, progress = 0.15, t =   9.69 s / 215.67 tokens per second
0.40.568.792 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4138, progress = 0.29, t =  19.61 s / 210.98 tokens per second
0.50.596.730 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6186, progress = 0.44, t =  29.63 s / 208.75 tokens per second
1.00.790.570 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8234, progress = 0.58, t =  39.82 s / 206.80 tokens per second
1.11.146.943 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10282, progress = 0.72, t =  50.15 s / 205.04 tokens per second
1.21.645.207 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12330, progress = 0.87, t =  60.63 s / 203.38 tokens per second
1.28.501.829 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  13671, progress = 0.96, t =  67.86 s / 201.46 tokens per second
1.31.337.639 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.52 s / 201.12 tokens per second
1.34.918.977 I slot print_timing: id  3 | task 0 | n_gen =    102, tg =  30.80 t/s, tg_3s =  31.11 t/s
1.37.970.879 I slot print_timing: id  3 | task 0 | n_gen =    194, tg =  30.49 t/s, tg_3s =  30.15 t/s
1.40.996.129 I slot print_timing: id  3 | task 0 | n_gen =    278, tg =  29.61 t/s, tg_3s =  27.77 t/s
