0.00.050.213 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.322.062 W srv  llama_server: -----------------
0.00.322.067 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.322.068 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.322.068 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.322.069 W srv  llama_server: -----------------
0.00.323.430 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
0.04.985.158 I cmn          init: llama threadpool init, n_threads = 8
0.05.134.919 I common_speculative_init_result: loading draft model '/root/mtp-Qwen3.8-27B-Q4_0.gguf'
0.06.074.381 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.06.135.723 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.135.787 I srv  llama_server: model loaded
0.06.135.793 I srv  llama_server: listening on http://127.0.0.1:8300
0.10.066.071 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.066.171 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.17.919.467 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  17.62 t/s, tg_3s =  17.79 t/s
0.21.034.210 I slot print_timing: id  3 | task 0 | n_gen =    146, tg =  16.60 t/s, tg_3s =  14.77 t/s
0.24.176.482 I slot print_timing: id  3 | task 0 | n_gen =    191, tg =  16.00 t/s, tg_3s =  14.32 t/s
0.27.316.711 I slot print_timing: id  3 | task 0 | n_gen =    235, tg =  15.58 t/s, tg_3s =  14.01 t/s
0.30.441.797 I slot print_timing: id  3 | task 0 | n_gen =    276, tg =  15.16 t/s, tg_3s =  13.12 t/s
0.33.569.913 I slot print_timing: id  3 | task 0 | n_gen =    310, tg =  14.53 t/s, tg_3s =  10.87 t/s
0.36.712.084 I slot print_timing: id  3 | task 0 | n_gen =    344, tg =  14.05 t/s, tg_3s =  10.82 t/s
0.39.854.339 I slot print_timing: id  3 | task 0 | n_gen =    394, tg =  14.26 t/s, tg_3s =  15.91 t/s
0.40.346.122 I slot print_timing: id  3 | task 0 | prompt eval time =    2233.68 ms /    96 tokens (   23.27 ms per token,    42.98 tokens per second)
0.40.346.129 I slot print_timing: id  3 | task 0 |        eval time =   28046.19 ms /   400 tokens (   70.29 ms per token,    14.23 tokens per second)
0.40.346.131 I slot print_timing: id  3 | task 0 |       total time =   30279.86 ms /   496 tokens
0.40.346.137 I slot print_timing: id  3 | task 0 |    graphs reused =        169
0.40.346.144 I slot print_timing: id  3 | task 0 | draft acceptance = 0.44902 (  229 accepted /   510 generated), mean len =  2.35
0.40.346.234 I slot      release: id  3 | task 0 | stop processing: n_tokens = 495, truncated = 0
0.40.471.486 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.194
0.40.824.459 I slot launch_slot_: id  3 | task 174 | processing task, is_child = 0
0.48.468.382 I slot print_timing: id  3 | task 174 | n_gen =    100, tg =  18.19 t/s, tg_3s =  18.37 t/s
0.51.611.457 I slot print_timing: id  3 | task 174 | n_gen =    146, tg =  16.89 t/s, tg_3s =  14.64 t/s
0.54.752.689 I slot print_timing: id  3 | task 174 | n_gen =    191, tg =  16.20 t/s, tg_3s =  14.33 t/s
0.57.870.915 I slot print_timing: id  3 | task 174 | n_gen =    235, tg =  15.76 t/s, tg_3s =  14.11 t/s
1.01.012.595 I slot print_timing: id  3 | task 174 | n_gen =    276, tg =  15.29 t/s, tg_3s =  13.05 t/s
1.04.154.481 I slot print_timing: id  3 | task 174 | n_gen =    310, tg =  14.62 t/s, tg_3s =  10.82 t/s
1.07.284.508 I slot print_timing: id  3 | task 174 | n_gen =    344, tg =  14.14 t/s, tg_3s =  10.86 t/s
1.10.412.184 I slot print_timing: id  3 | task 174 | n_gen =    388, tg =  14.13 t/s, tg_3s =  14.07 t/s
1.11.239.337 I slot print_timing: id  3 | task 174 | prompt eval time =    2201.55 ms /    96 tokens (   22.93 ms per token,    43.61 tokens per second)
1.11.239.344 I slot print_timing: id  3 | task 174 |        eval time =   28213.25 ms /   400 tokens (   70.71 ms per token,    14.14 tokens per second)
1.11.239.346 I slot print_timing: id  3 | task 174 |       total time =   30414.79 ms /   496 tokens
1.11.239.347 I slot print_timing: id  3 | task 174 |    graphs reused =        338
1.11.239.355 I slot print_timing: id  3 | task 174 | draft acceptance = 0.44444 (  228 accepted /   513 generated), mean len =  2.33
1.11.239.421 I slot      release: id  3 | task 174 | stop processing: n_tokens = 495, truncated = 0
1.11.353.055 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.194
1.11.353.230 I slot launch_slot_: id  3 | task 349 | processing task, is_child = 0
1.19.032.867 I slot print_timing: id  3 | task 349 | n_gen =    100, tg =  18.09 t/s, tg_3s =  18.27 t/s
1.22.155.101 I slot print_timing: id  3 | task 349 | n_gen =    146, tg =  16.87 t/s, tg_3s =  14.73 t/s
1.25.296.435 I slot print_timing: id  3 | task 349 | n_gen =    191, tg =  16.19 t/s, tg_3s =  14.33 t/s
1.28.440.963 I slot print_timing: id  3 | task 349 | n_gen =    235, tg =  15.73 t/s, tg_3s =  13.99 t/s
1.31.584.821 I slot print_timing: id  3 | task 349 | n_gen =    276, tg =  15.26 t/s, tg_3s =  13.04 t/s
1.34.704.206 I slot print_timing: id  3 | task 349 | n_gen =    310, tg =  14.61 t/s, tg_3s =  10.90 t/s
1.37.847.933 I slot print_timing: id  3 | task 349 | n_gen =    344, tg =  14.12 t/s, tg_3s =  10.82 t/s
1.41.001.468 I slot print_timing: id  3 | task 349 | n_gen =    388, tg =  14.10 t/s, tg_3s =  13.95 t/s
1.41.829.090 I slot print_timing: id  3 | task 349 | prompt eval time =    2207.28 ms /    96 tokens (   22.99 ms per token,    43.49 tokens per second)
1.41.829.097 I slot print_timing: id  3 | task 349 |        eval time =   28268.50 ms /   400 tokens (   70.85 ms per token,    14.11 tokens per second)
1.41.829.099 I slot print_timing: id  3 | task 349 |       total time =   30475.79 ms /   496 tokens
1.41.829.100 I slot print_timing: id  3 | task 349 |    graphs reused =        507
1.41.829.108 I slot print_timing: id  3 | task 349 | draft acceptance = 0.44444 (  228 accepted /   513 generated), mean len =  2.33
1.41.829.174 I slot      release: id  3 | task 349 | stop processing: n_tokens = 495, truncated = 0
1.41.864.562 I srv    operator(): operator(): cleaning up before exit...
